Designator,Comment,PartNumber1,Quantity

"C1, C2, C3, C4, C5, C6, C13, C14, C15, C16, C23, C24, C25, C26, C28, C30, C32, C34, C36, C37, C38, C41, C42, C43, C44, C45, C46, C47, C51, C52, C53, C54, C55, C56, C57, C58, C61, C62, C63, C65, C66, C68","100nFx16V","C0603C104Z3VACTU","42"
"C7, C8, C9, C10, C11, C12, C19, C20, C21, C22, C27, C39, C40","22pFx16V","CC0603JPNPO0BN220","13"
"C17, C18","4n7x50V","C0603C472K5RAC7411","2"
"C29, C31, C33, C35, C48, C49, C50, C67, C69","10uFx16V","EMK212ABJ106MG-T","9"
"C59, C60","4.7uFx16V","0805X475M250CT","2"
"C64","3.3uFx16V","C1608X5R1C335K080AC","1"
"C70, C71","27pFx16V","C0805C270J3HACTU","2"
"CON9","USB-B","UJ2-BH-1-TH","1"
"D1","RB751V40T1G","RB751V40T1G","1"
"F1, F2, F3, F4","0ZCJ0035AF2E","0ZCJ0035AF2E","4"
"L1, L3","ACML-0805-601-T","ACML-0805-601-T","2"
"L2","MH2029-300Y","MH2029-300Y","1"
"LED1, LED2, LED12, LED14, LED17","LED","BR1101W-TR","5"
"LED3, LED13, LED15","LED","AY1101W-TR","3"
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17","BSS138","BSS138-13-F","17"
"R1, R2, R3, R20, R21, R38, R39, R40, R41, R48, R49, R50, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R92, R94, R95, R106, R107, R109, R113, R114, R115, R116, R117, R118, R130, R131, R132","10k","RC0603FR-0710KL","39"
"R4, R5, R6, R8, R9, R10, R11, R12, R13, R22, R23, R24, R28, R29, R30, R31, R34, R67, R91, R111, R121, R122, R123, R124, R125, R128, R129, R134, R135, R137","0R, 1k","RC0603JR-070RL","30"
"R7, R17, R25, R26, R96, R97, R98, R101, R102, R103","4k7","RC0603JR-074K7L","10"
"R18, R19, R32, R33","60R4","ESR18EZPF60R4","4"
"R27, R37","120R","AC1206JR-07120RL","2"
"R42, R43, R44, R51, R52, R53, R54, R55, R56, R57, R58, R68, R69, R70, R99, R108, R126","1k","RC0603FR-071KL","17"
"R87, R88, R89, R90","10k","COM-09806","4"
"R93","330R","RC0603FR-07330RL","1"
"R100, R104","100R","RC0603JR-07100RL","2"
"R105","1M","RC0603FR-071ML","1"
"R119, R120","22R","RC0603FR-0722RL","2"
"R127","12k","RC0603FR-0712KL","1"
"R133","120R","RC0603FR-07120RL","1"
"R136","200R","RC0603FR-07200RL","1"
"TZ1, TZ2","SZNUP2105LT1G","SZNUP2105LT1G","2"
"U1, U2, U3, U7, U8","MCP2515","MCP2515-I/SO","5"
"U4, U5, U6, U9, U10","MCP2561","MCP2561T-E/SN","5"
"U11, U12","SN65HVDA100-Q1","SN65HVDA100-Q1","2"
"U13","ATMEGA328PB","ATMEGA328PB-AUR","1"
"U14, U15, U16, U17","SN74LVC1G3157","SN74LVC1G3157DBVR","4"
"U18","FT4232HL","FT4232HL","1"
"U19","LM1117","LM1117-N","1"
"Y1, Y2, Y3, Y4, Y5","8MHz","ECS-80-18-33-JGN-TR","5"
"Y6","16MHz","ECS-160-12-33Q-JES-TR","1"
"Y7","12MHz","ABMM-12.000MHZ-B2-T","1"
"Z1, Z2","CG0603MLC-05E","CG0603MLC-05E","2"
